,PEP,title,status,created,group_id,in-degree_group,out-degree_group,degree_group,pagerank_group,pagerank_cumsum
326,508,Dependency specification for Python Software Packages,Final,11-Nov-2015,0,17,0,17,0.1938913883239763,0.1938913883239763
335,517,A build-system independent format for source trees,Final,30-Sep-2015,0,13,3,16,0.15553970581218995,0.34943109413616624
336,518,Specifying Minimum Build System Requirements for Python Projects,Final,10-May-2016,0,8,2,10,0.08771380973088876,0.437144903867055
439,621,Storing project metadata in pyproject.toml,Final,22-Jun-2020,0,10,5,15,0.06084596586614384,0.49799086973319884
334,516,Build system abstraction for pip/conda etc,Rejected,26-Oct-2015,0,1,2,3,0.05518660583893932,0.5531774755721381
541,725,Specifying external dependencies in pyproject.toml,Draft,17-Aug-2023,0,3,5,8,0.03842478884682346,0.5916022644189616
428,610,Recording the Direct URL Origin of installed distributions,Final,21-Apr-2019,0,4,1,5,0.03378888373170648,0.6253911481506681
478,660,Editable installs for pyproject.toml based builds (wheel based),Final,30-Mar-2021,0,3,4,7,0.027242640231447547,0.6526337883821156
449,631,Dependency specification in pyproject.toml based on PEP 508,Superseded,20-Aug-2020,0,2,2,4,0.02602035460144611,0.6786541429835617
551,735,Dependency Groups in pyproject.toml,Final,20-Nov-2023,0,2,5,7,0.022373884475650887,0.7010280274592127
457,639,Improving License Clarity with Better Package Metadata,Final,15-Aug-2019,0,2,0,2,0.02198299361822984,0.7230110210774425
451,633,Dependency specification in pyproject.toml using an exploded TOML table,Rejected,02-Sep-2020,0,1,4,5,0.021459985527252572,0.744471006604695
586,770,Improving measurability of Python packages with Software Bill-of-Materials,Accepted,02-Jan-2025,0,2,2,4,0.02001163787663239,0.7644826444813274
461,643,Metadata for Package Source Distributions,Final,24-Oct-2020,0,2,2,4,0.01834621199665773,0.7828288564779852
617,804,An external dependency registry and name mapping mechanism,Draft,03-Sep-2025,0,1,1,2,0.01764939127761389,0.8004782477555991
443,625,Filename of a Source Distribution,Final,08-Jul-2020,0,1,3,4,0.017179521541340746,0.8176577692969398
483,665,A file format to list Python dependencies for reproducibility of an application,Rejected,29-Jul-2021,0,1,5,6,0.017179521541340746,0.8348372908382805
480,662,Editable installs via virtual wheels,Rejected,28-May-2021,0,1,5,6,0.016905610988373718,0.8517429018266542
538,722,Dependency specification for single-file scripts,Rejected,19-Jul-2023,0,1,3,4,0.015511303459123911,0.8672542052857782
539,723,Inline script metadata,Final,04-Aug-2023,0,1,3,4,0.015511303459123911,0.8827655087449021
567,751,A file format to record Python dependencies for installation reproducibility,Final,24-Jul-2024,0,1,2,3,0.014266092970800177,0.8970316017157023
468,650,Specifying Installer Requirements for Python Projects,Withdrawn,16-Jul-2020,0,1,3,4,0.014036951574093744,0.911068553289796
450,632,Deprecate distutils module,Final,03-Sep-2020,0,0,1,1,0.011116430838775513,0.9221849841285715
498,680,tomllib: Support for Parsing TOML in the Standard Library,Final,01-Jan-2022,0,0,3,3,0.011116430838775513,0.9333014149673471
503,685,Comparison of extra names for optional distribution dependencies,Final,08-Mar-2022,0,0,1,1,0.011116430838775513,0.9444178458061225
528,710,Recording the provenance of installed packages,Draft,27-Mar-2023,0,0,1,1,0.011116430838775513,0.9555342766448981
587,771,Default Extras for Python Software Packages,Draft,13-Jan-2025,0,0,3,3,0.011116430838775513,0.9666507074836735
594,778,Supporting Symlinks in Wheels,Deferred,18-May-2024,0,0,1,1,0.011116430838775513,0.9777671383224491
596,780,ABI features as environment markers,Draft,21-Mar-2025,0,0,2,2,0.011116430838775513,0.9888835691612247
620,808,Including static values in dynamic project metadata,Draft,19-Sep-2025,0,0,4,4,0.011116430838775513,1.0000000000000002
200,381,Mirroring infrastructure for PyPI,Withdrawn,21-Mar-2009,1,4,1,5,0.1081949803282084,0.1081949803282084
124,305,CSV File API,Final,26-Jan-2003,1,1,0,1,0.10697911733602743,0.21517409766423584
276,458,Secure PyPI downloads with signed repository metadata,Accepted,27-Sep-2013,1,4,4,8,0.0870160953770843,0.3021901930413201
410,592,"Adding ""Yank"" Support to the Simple API",Final,07-May-2019,1,5,0,5,0.06172691632045818,0.3639171093617783
298,480,Surviving a Compromise of PyPI: End-to-end signing of packages,Draft,08-Oct-2014,1,3,1,4,0.05103671850712043,0.41495382786889873
509,691,JSON-based Simple API for Python Package Indexes,Accepted,04-May-2022,1,4,4,8,0.04807974261478185,0.4630335704836806
256,438,Transitioning to release-file hosting on PyPI,Superseded,15-Mar-2013,1,2,1,3,0.046863505243488715,0.5098970757271692
476,658,Serve Distribution Metadata in the Simple Repository API,Accepted,10-May-2021,1,3,0,3,0.04437007804066534,0.5542671537678346
556,740,Index support for digital attestations,Final,08-Jan-2024,1,3,3,6,0.042436356023047246,0.5967035097908819
288,470,Removing External Hosting Support on PyPI,Final,12-May-2014,1,2,1,3,0.035326072477022255,0.6320295822679042
267,449,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,Final,04-Aug-2013,1,1,1,2,0.03350314426201019,0.6655327265299144
526,708,Extending the Repository API to Mitigate Dependency Confusion Attacks,Provisional,20-Feb-2023,1,3,0,3,0.03336410108070446,0.6988968276106188
568,752,Implicit namespaces for package repositories,Draft,13-Aug-2024,1,2,5,7,0.03241148271740124,0.73130831032802
512,694,Upload 2.0 API for Python Package Indexes,Draft,11-Jun-2022,1,3,3,6,0.032307200333377036,0.7636155106613971
359,541,Package Index Name Retention,Final,12-Jan-2017,1,3,0,3,0.02872537417327854,0.7923408848346756
582,766,Explicit Priority Choices Among Multiple Indexes,Draft,18-Nov-2024,1,2,2,4,0.025926951580834797,0.8182678364155104
447,629,Versioning PyPI's Simple API,Final,16-Jul-2020,1,1,0,1,0.02522933178303863,0.843497168198549
628,817,Wheel Variants: Beyond Platform Tags,Draft,10-Dec-2025,1,1,2,3,0.021392507057433088,0.8648896752559821
282,464,Removal of the PyPI Mirror Authenticity API,Final,02-Mar-2014,1,0,2,2,0.015012258304890846,0.879901933560873
532,714,Rename dist-info-metadata in the Simple API,Accepted,06-Jun-2023,1,0,2,2,0.015012258304890846,0.8949141918657638
569,753,Uniform project URLs in core metadata,Accepted,29-Aug-2024,1,0,1,1,0.015012258304890846,0.9099264501706547
571,755,Implicit namespace policy for PyPI,Draft,05-Sep-2024,1,0,2,2,0.015012258304890846,0.9249387084755455
575,759,External Wheel Hosting,Withdrawn,01-Oct-2024,1,0,7,7,0.015012258304890846,0.9399509667804363
579,763,Limiting deletions on PyPI,Withdrawn,24-Oct-2024,1,0,1,1,0.015012258304890846,0.9549632250853272
607,792,Project status markers in the simple index,Final,21-May-2025,1,0,1,1,0.015012258304890846,0.969975483390218
619,807,Index support for Trusted Publishing,Draft,19-Sep-2025,1,0,1,1,0.015012258304890846,0.9849877416951089
634,825,Wheel Variants: Package Format,Draft,17-Feb-2026,1,0,2,2,0.015012258304890846,0.9999999999999998
302,484,Type Hints,Final,29-Sep-2014,2,13,6,19,0.241690346272143,0.241690346272143
344,526,Syntax for Variable Annotations,Final,09-Aug-2016,2,8,1,9,0.11833457755611236,0.36002492382825535
650,3107,Function Annotations,Final,02-Dec-2006,2,7,0,7,0.11137324164962283,0.47139816547787816
381,563,Postponed Evaluation of Annotations,Superseded,08-Sep-2017,2,7,8,15,0.07512230799767072,0.5465204734755489
301,483,The Theory of Type Hints,Final,19-Dec-2014,2,3,2,5,0.05468947411313664,0.6012099475886855
467,649,Deferred Evaluation Of Annotations Using Descriptors,Final,11-Jan-2021,2,8,4,12,0.049097654006611154,0.6503076015952967
300,482,Literature Overview for Type Hints,Final,08-Jan-2015,2,1,1,2,0.04364869733305996,0.6939562989283566
379,561,Distributing and Packaging Type Information,Final,09-Sep-2017,2,1,3,4,0.04364869733305996,0.7376049962614166
375,557,Data Classes,Final,02-Jun-2017,2,4,1,5,0.0320183870803766,0.7696233833417933
513,695,Type Parameter Syntax,Final,15-Jun-2022,2,3,5,8,0.029293839711658592,0.7989172230534518
362,544,Protocols: Structural subtyping (static duck typing),Final,05-Mar-2017,2,2,3,5,0.02139158939486003,0.8203088124483119
565,749,Implementing PEP 649,Final,28-May-2024,2,2,4,6,0.02005846323700067,0.8403672756853126
378,560,Core support for typing module and generic types,Final,03-Sep-2017,2,1,3,4,0.017392210921281955,0.8577594866065945
431,613,Explicit Type Aliases,Final,21-Jan-2020,2,1,1,2,0.014390178578532743,0.8721496651851273
514,696,Type Defaults for Type Parameters,Final,14-Jul-2022,2,1,1,2,0.013672596384721753,0.885822261569849
411,593,Flexible function and variable annotations,Final,26-Apr-2019,2,1,2,3,0.01340962657969411,0.8992318881495431
499,681,Data Class Transforms,Final,02-Dec-2021,2,1,2,3,0.01340962657969411,0.9126415147292372
508,690,Lazy Imports,Rejected,29-Apr-2022,2,1,2,3,0.012076500421834752,0.924718015151072
456,638,Syntactic Macros,Draft,24-Sep-2020,2,0,1,1,0.009410248106116036,0.934128263257188
489,671,Syntax for late-bound function argument defaults,Draft,24-Oct-2021,2,0,2,2,0.009410248106116036,0.943538511363304
491,673,Self Type,Final,10-Nov-2021,2,0,2,2,0.009410248106116036,0.95294875946942
530,712,"Adding a ""converter"" parameter to dataclasses.field",Rejected,01-Jan-2023,2,0,2,2,0.009410248106116036,0.962359007575536
562,746,Type checking Annotated metadata,Draft,20-May-2024,2,0,2,2,0.009410248106116036,0.9717692556816521
563,747,Annotating Type Forms,Draft,27-May-2024,2,0,1,1,0.009410248106116036,0.9811795037877682
597,781,Make ``TYPE_CHECKING`` a built-in constant,Draft,24-Mar-2025,2,0,3,3,0.009410248106116036,0.9905897518938842
622,810,Explicit lazy imports,Accepted,02-Oct-2025,2,0,3,3,0.009410248106116036,1.0000000000000002
662,3119,Introducing Abstract Base Classes,Final,18-Apr-2007,3,2,2,4,0.11481079146606041,0.11481079146606041
56,236,Back to the __future__,Final,26-Feb-2001,3,7,4,11,0.10346434372296139,0.2182751351890218
684,3141,A Type Hierarchy for Numbers,Final,23-Apr-2007,3,3,1,4,0.09883166397111488,0.3171067991601367
59,239,Adding a Rational Type to Python,Rejected,11-Mar-2001,3,4,3,7,0.08513201914517342,0.4022388183053101
65,245,Python Interface Syntax,Rejected,11-Jan-2001,3,3,5,8,0.07423452351585104,0.47647334182116113
667,3124,"Overloading, Generic Functions, Interfaces, and Adaptation",Deferred,28-Apr-2007,3,2,3,5,0.06477089767973315,0.5412442395008943
146,327,Decimal Data Type,Final,17-Oct-2003,3,2,1,3,0.05436059635589849,0.5956048358567928
50,230,Warning Framework,Final,28-Nov-2000,3,3,0,3,0.05058103556662166,0.6461858714234144
66,246,Object Adaptation,Rejected,21-Mar-2001,3,3,1,4,0.046948400278351676,0.6931342717017661
4,5,Guidelines for Language Evolution,Superseded,26-Oct-2000,3,4,0,4,0.04501513327936755,0.7381494049811337
60,240,Adding a Rational Literal to Python,Rejected,11-Mar-2001,3,2,2,4,0.04186042511842755,0.7800098300995613
47,227,Statically Nested Scopes,Final,01-Nov-2000,3,2,1,3,0.03796097259076133,0.8179708026903225
84,264,Future statements in simulated shells,Final,30-Jul-2001,3,2,1,3,0.03782869558110048,0.855799498271423
52,232,Function Attributes,Final,02-Dec-2000,3,1,0,1,0.025068784320072666,0.8808682825914957
53,233,Python Online Help,Deferred,11-Dec-2000,3,1,0,1,0.025068784320072666,0.9059370669115684
58,238,Changing the Division Operator,Final,11-Mar-2001,3,1,4,5,0.015975801688515447,0.9219128686000838
