PEP,title,status,created,group_id,in-degree_group,out-degree_group,degree_group,pagerank_group,pagerank_cumsum
8,Style Guide for Python Code,Active,05-Jul-2001,20,11,2,13,0.2933984505322349,0.2933984505322349
3131,Supporting Non-ASCII Identifiers,Final,01-May-2007,20,2,0,2,0.1655346331669877,0.4589330836992226
7,Style Guide for C Code,Active,05-Jul-2001,20,1,1,2,0.1467705386725525,0.6057036223717752
3108,Standard Library Reorganization,Final,01-Jan-2007,20,2,3,5,0.0408393259865518,0.6465429483583272
3150,"Statement local namespaces (aka ""given"" clause)",Deferred,09-Jul-2010,20,1,3,4,0.0357638376701491,0.6823067860284763
324,subprocess - New process module,Final,19-Nov-2003,20,1,0,1,0.0336463302656881,0.7159531162941645
360,Externally Maintained Packages,Final,30-May-2006,20,1,0,1,0.0336463302656881,0.7495994465598527
359,"The ""make"" Statement",Withdrawn,05-Apr-2006,20,1,0,1,0.032208327127998,0.7818077736878507
403,"General purpose decorator clause (aka ""@in"" clause)",Deferred,13-Oct-2011,20,1,2,3,0.032208327127998,0.8140161008158487
601,Forbid return/break/continue breaking out of finally,Rejected,26-Aug-2019,20,1,1,2,0.0314572787393343,0.8454733795551831
364,Transitioning to the Py3K Standard Library,Withdrawn,01-Mar-2007,20,0,2,2,0.0220752314921167,0.8675486110472997
391,Dictionary-Based Configuration For Logging,Final,15-Oct-2009,20,0,1,1,0.0220752314921167,0.8896238425394165
423,Naming conventions and recipes related to packaging,Deferred,24-May-2012,20,0,2,2,0.0220752314921167,0.9116990740315332
672,Unicode-related Security Considerations for Python,Active,01-Nov-2021,20,0,1,1,0.0220752314921167,0.93377430552365
760,No More Bare Excepts,Withdrawn,02-Oct-2024,20,0,1,1,0.0220752314921167,0.9558495370157666
762,REPL-acing the default REPL,Final,11-Oct-2024,20,0,1,1,0.0220752314921167,0.9779247685078832
765,Disallow return/break/continue that exit a finally block,Final,15-Nov-2024,20,0,2,2,0.0220752314921167,1.0
