PEP,title,status,created,group_id,in-degree_group,out-degree_group,degree_group,pagerank_group,pagerank_cumsum
508,Dependency specification for Python Software Packages,Final,11-Nov-2015,0,16,0,16,0.18729956834062333,0.978408229898444
517,A build-system independent format for source trees,Final,30-Sep-2015,0,14,3,17,0.1607875383930196,0.2549387752210211
518,Specifying Minimum Build System Requirements for Python Projects,Final,10-May-2016,0,8,2,10,0.08932459835126853,0.34426337357228964
621,Storing project metadata in pyproject.toml,Final,22-Jun-2020,0,11,5,16,0.06505859361427539,0.6897582725818324
516,Build system abstraction for pip/conda etc,Rejected,26-Oct-2015,0,1,2,3,0.05647605998009424,0.0941512368280015
725,Specifying external dependencies in pyproject.toml,Draft,17-Aug-2023,0,3,5,8,0.03774095551866084,0.4966941792679075
610,Recording the Direct URL Origin of installed distributions,Final,21-Apr-2019,0,4,1,5,0.03337879627444741,0.5855271890185132
660,Editable installs for pyproject.toml based builds (wheel based),Final,30-Mar-2021,0,3,4,7,0.026757777381614358,0.45895322374924663
631,Dependency specification in pyproject.toml based on PEP 508,Superseded,20-Aug-2020,0,2,2,4,0.026648841312915936,0.7472930983733013
633,Dependency specification in pyproject.toml using an exploded TOML table,Rejected,02-Sep-2020,0,1,4,5,0.021978352434448473,0.7801900561827853
735,Dependency Groups in pyproject.toml,Final,20-Nov-2023,0,2,5,7,0.0219756743577531,0.5521483927440658
639,Improving License Clarity with Better Package Metadata,Final,15-Aug-2019,0,2,0,2,0.021591770101555996,1.0
770,Improving measurability of Python packages with Software Bill-of-Materials,Accepted,02-Jan-2025,0,2,2,4,0.019655476778363018,0.019655476778363018
643,Metadata for Package Source Distributions,Final,24-Oct-2020,0,2,2,4,0.018019700069544245,0.03767517684790726
804,An external dependency registry and name mapping mechanism,Draft,03-Sep-2025,0,1,1,2,0.017335279198972937,0.6028624682174861
625,Filename of a Source Distribution,Final,08-Jul-2020,0,1,3,4,0.016873782330997473,0.7206442570603854
665,A file format to list Python dependencies for reproducibility of an application,Rejected,29-Jul-2021,0,1,5,6,0.016873782330997473,0.5301727183863127
662,Editable installs via virtual wheels,Rejected,28-May-2021,0,1,5,6,0.016604756787407783,0.5132989360553153
722,Dependency specification for single-file scripts,Rejected,19-Jul-2023,0,1,3,4,0.015235253825547154,0.4169601925420851
723,Inline script metadata,Final,04-Aug-2023,0,1,3,4,0.015235253825547154,0.43219544636763224
751,A file format to record Python dependencies for installation reproducibility,Final,24-Jul-2024,0,1,2,3,0.014012202147555523,0.7037704747293879
650,Specifying Installer Requirements for Python Projects,Withdrawn,16-Jul-2020,0,1,3,4,0.013787143644106666,0.37988772796646714
632,Deprecate distutils module,Final,03-Sep-2020,0,0,1,1,0.010918605375035416,0.7582117037483367
680,tomllib: Support for Parsing TOML in the Standard Library,Final,01-Jan-2022,0,0,3,3,0.010918605375035416,0.6137810735925215
