pep_number,in_degree,out_degree,degree,pagerank
1,14,9,23,0.0069249180896134264
13,19,12,31,0.016848061461898618
729,1,18,19,0.0010847071399823663
12,4,1,5,0.0019565995563518863
7,5,1,6,0.0037266738653343357
8,33,8,41,0.0135138545626411
2,3,2,5,0.001622341878410534
411,5,8,13,0.004071594718299813
694,5,3,8,0.0014408473359787757
676,1,3,4,0.0010847071399823663
4,7,1,8,0.002968483802697376
3,4,1,5,0.0019267052059868883
42,1,0,1,0.0020681248202055053
387,20,5,25,0.007417215215452424
6,0,3,3,0.0004305713366354541
101,7,2,9,0.004072749916038287
235,1,0,1,0.0005525861056290046
257,3,3,6,0.0025970760494863025
20,11,0,11,0.0036933259953163657
3131,2,0,2,0.002232909765128949
484,26,11,37,0.01826391540096305
207,4,0,4,0.0027443434616661135
3151,2,1,3,0.0018917055015993324
526,13,1,14,0.006936138954123953
9,1,2,3,0.0007739371011341199
8106,1,1,2,0.0016239867694732466
8000,3,10,13,0.0021639456103102416
8001,9,9,18,0.0051843390683356996
8002,3,0,3,0.0019947850402665126
8016,10,2,12,0.004101337264791562
8100,1,1,2,0.0016239867694732466
8101,1,1,2,0.0016239867694732466
8102,1,1,2,0.0016239867694732466
8103,1,1,2,0.0016239867694732466
8104,1,1,2,0.0016239867694732466
8105,1,1,2,0.0016239867694732466
8107,1,1,2,0.0016239867694732466
761,1,0,1,0.0021621110767336186
102,1,1,2,0.0021621110767336186
200,0,2,2,0.0004305713366354541
223,1,0,1,0.0006135934901257796
214,1,0,1,0.0006135934901257796
201,2,1,3,0.0013793439212543698
202,5,0,5,0.0035724617354867083
203,0,1,1,0.0004305713366354541
211,4,4,8,0.0018795109405798627
204,2,1,3,0.0006700299499560133
208,1,1,2,0.0005717191497516807
209,1,5,6,0.0008300746607743398
225,3,2,5,0.001342322775407412
228,2,1,3,0.0008071268472774988
465,5,4,9,0.0017458849896251872
212,4,2,6,0.0012921278396662817
279,2,4,6,0.0013211352006348074
213,1,1,2,0.0007966156436161054
252,3,1,4,0.0021383966087139823
216,2,1,3,0.001009396122638538
287,3,5,8,0.002019057503516688
218,5,2,7,0.0015943553408546132
289,5,2,7,0.0017941919457637192
3000,5,3,8,0.002354912143687826
219,1,1,2,0.0019414544485121632
220,1,0,1,0.002081122564333259
226,0,1,1,0.0004305713366354541
227,4,1,5,0.002621686517431193
236,10,4,14,0.008066409329903228
3141,4,1,5,0.004699633418220106
231,0,1,1,0.0004305713366354541
5,5,0,5,0.0024990236917604774
230,4,0,4,0.003550629416294813
264,2,1,3,0.002380184749815212
238,4,4,8,0.0011075087788461316
239,4,3,7,0.00300021117271683
327,3,1,4,0.0019002530427909175
240,2,2,4,0.0014029469531067777
243,1,1,2,0.003119362729972032
241,9,0,9,0.0120299444160503
244,0,3,3,0.0004305713366354541
245,4,5,9,0.0034614091108570747
246,4,1,5,0.0021894873133700035
232,1,0,1,0.001019292388159055
233,1,0,1,0.001019292388159055
249,0,1,1,0.0004305713366354541
248,1,0,1,0.0007966156436161054
251,0,7,7,0.0004305713366354541
234,8,0,8,0.004001112075028353
255,9,3,12,0.005331437132265619
237,2,0,2,0.0005031991753220912
253,2,2,4,0.0023009436584872315
254,1,0,1,0.0014088670468967997
256,3,3,6,0.0017454998851002864
258,2,6,8,0.001661426668930789
224,2,0,2,0.000802565037920421
262,3,3,6,0.0040497313689529585
345,15,4,19,0.00982632055146278
376,9,6,15,0.006402341160914891
267,3,2,5,0.0008240882653457789
266,5,0,5,0.0015404359370182058
280,3,2,5,0.0008240882653457789
269,2,1,3,0.0004737849006540032
270,0,1,1,0.0004305713366354541
273,3,1,4,0.00536121492831716
302,16,3,19,0.01411889422824229
274,1,1,2,0.0006055294102360884
275,2,1,3,0.003630395253319723
3103,2,1,3,0.003630395253319723
276,1,3,4,0.000522082413380617
281,2,2,4,0.0008028856995715621
283,0,18,18,0.0004305713366354541
285,1,0,1,0.00045090713146771254
278,2,0,2,0.0013583980012623477
263,2,0,2,0.0008169514384483638
293,2,0,2,0.0009278326869957842
282,2,0,2,0.0008169514384483638
307,1,0,1,0.00045090713146771254
305,2,0,2,0.002827974369987271
311,2,0,2,0.0008169514384483638
304,3,2,5,0.0019037491592523536
286,2,1,3,0.0004737849006540032
284,0,4,4,0.0004305713366354541
426,13,14,27,0.006586572885191386
288,4,2,6,0.0036501756288970155
343,12,5,17,0.008292080207888136
290,1,1,2,0.0010307965273886454
292,3,1,4,0.0006211776073024532
215,4,0,4,0.001601586151574072
294,0,1,1,0.0004305713366354541
296,2,1,3,0.0008752026668549238
358,4,2,6,0.004727203938828012
298,0,1,1,0.0004305713366354541
301,5,2,7,0.00632297677796278
366,3,4,7,0.004635420157595839
338,4,3,7,0.005850917127011667
3147,6,4,10,0.006725292779966037
310,4,2,6,0.0033668054993871133
319,2,4,6,0.0032712461483512213
312,0,1,1,0.0004305713366354541
308,5,0,5,0.00334712730545236
313,0,3,3,0.0004305713366354541
314,8,2,10,0.0059253539665054655
317,0,3,3,0.0004305713366354541
318,3,2,5,0.005084030913983383
3129,2,1,3,0.0027146138481259122
320,0,16,16,0.0004305713366354541
322,1,0,1,0.0004534491058217448
328,7,0,7,0.0038218081608588357
11,9,0,9,0.00379617939109286
323,0,1,1,0.0004305713366354541
325,7,3,10,0.0040536132153416345
342,11,4,15,0.0058314323673788115
329,0,1,1,0.0004305713366354541
333,4,3,7,0.002645026729349499
3333,3,4,7,0.0021772896378272565
334,0,2,2,0.0004305713366354541
337,0,1,1,0.0004305713366354541
299,2,0,2,0.0024907411272550267
340,5,6,11,0.004290059525840765
346,1,7,8,0.0018403548707357526
344,4,4,8,0.0018304166127682813
3134,5,4,9,0.0028120191689441844
440,19,5,24,0.009411696903492816
348,2,4,6,0.0028236212325593512
351,2,1,3,0.0007440037182437115
352,5,1,6,0.0009228146090899669
354,1,1,2,0.0043393052148092736
435,3,1,4,0.004572568570316623
356,0,12,12,0.0004305713366354541
309,1,0,1,0.0004610750288838417
341,1,0,1,0.0004610750288838417
353,1,0,1,0.0004610750288838417
357,1,0,1,0.0004610750288838417
3137,4,2,6,0.0030498511144532617
3112,2,1,3,0.0025251883111371723
361,1,11,12,0.0010979866468698034
3100,7,16,23,0.003292057547236899
370,3,0,3,0.0020655500802024915
3127,1,3,4,0.0005154389408273168
371,1,1,2,0.0005154389408273168
3108,5,4,9,0.0015195924563444216
364,0,3,3,0.0004305713366354541
3122,1,3,4,0.00141613454549024
367,1,2,3,0.0009044633505541446
3135,2,2,4,0.0011147915273323813
3130,2,0,2,0.0012889446685200772
368,2,2,4,0.0009682060750636219
3118,7,0,7,0.002888814338010923
369,0,1,1,0.0004305713366354541
372,1,1,2,0.0007966156436161054
3115,5,1,6,0.0022002728426350395
373,2,2,4,0.0016688601520026458
466,4,0,4,0.0022254893439173726
404,2,0,2,0.0015872657035449207
374,0,2,2,0.0004305713366354541
385,1,1,2,0.0006135934901257796
375,0,1,1,0.0004305713366354541
377,0,1,1,0.0004305713366354541
378,1,1,2,0.0007966156436161054
3101,6,0,6,0.002262844914000445
381,4,1,5,0.002795863819746679
382,4,2,6,0.0028742219999425963
402,4,2,6,0.002348731683112529
383,3,2,5,0.0011219134013348846
277,1,0,1,0.0009074968921635258
384,18,1,19,0.011145829985863675
3149,4,2,6,0.010396862105063418
347,2,0,2,0.001421356694231216
386,4,2,6,0.0026446902702099515
602,15,6,21,0.005423133883639451
702,3,3,6,0.0018796346275952076
291,1,0,1,0.0016918645384315595
390,0,3,3,0.0004305713366354541
391,0,1,1,0.0004305713366354541
392,0,2,2,0.0004305713366354541
3003,3,1,4,0.0011782378422546525
398,1,21,22,0.0006135934901257796
393,6,1,7,0.002751259914742274
394,4,4,8,0.002103473771474818
405,5,1,6,0.0016434971582414315
397,5,1,6,0.001630108389519855
395,3,7,10,0.0009646437619199202
420,6,4,10,0.0015345928782336694
451,5,4,9,0.0015342301643607272
3155,5,0,5,0.0013589517733594999
396,0,4,4,0.0004305713366354541
362,2,0,2,0.002776983746587018
380,7,0,7,0.0031915845122928855
399,5,0,5,0.0011376939025091752
409,3,2,5,0.0016731122246897376
412,3,0,3,0.0008404076692810566
414,2,1,3,0.000930606040315166
415,3,1,4,0.0012887120081234546
417,1,0,1,0.0004554113800864887
418,3,0,3,0.0008905799483052261
421,3,4,7,0.0011835317790861624
3144,3,0,3,0.0009930461185146565
3143,3,0,3,0.0009930461185146565
3154,2,1,3,0.0004956230872643218
400,0,2,2,0.0004305713366354541
100,1,0,1,0.0006135934901257796
3116,1,0,1,0.0006135934901257796
403,1,3,4,0.0008576553152739284
3150,2,3,5,0.0015072114450954814
406,2,4,6,0.0011894452770419
407,2,1,3,0.0006269494083508851
408,1,7,8,0.0008633390800933537
3153,3,0,3,0.0012073861060011104
444,2,4,6,0.0009682060750636219
413,0,4,4,0.0004305713366354541
453,7,4,11,0.002201849919596721
416,1,2,3,0.000522082413380617
3139,1,0,1,0.0006821215170524466
422,2,3,5,0.0010576779656870847
487,3,3,6,0.0010755041654717894
423,0,6,6,0.0004305713366354541
425,9,1,10,0.005415210484696847
427,18,2,20,0.008041222071024702
566,3,6,9,0.0011232078153718707
459,2,2,4,0.002431164424471238
503,8,2,10,0.0029356796183062435
508,21,3,24,0.005211051284484407
518,10,2,12,0.0024069249691438073
477,1,1,2,0.0008305990990270479
428,2,2,4,0.000663529985146805
355,1,0,1,0.0007126214982873776
429,1,19,20,0.0008986023398444177
436,3,0,3,0.0007894019451652934
442,3,0,3,0.0007090048626032265
443,2,4,6,0.0018826971804375414
445,3,1,4,0.0009715547938712191
446,1,1,2,0.0004707830438132871
450,1,0,1,0.0004707830438132871
454,1,1,2,0.0004707830438132871
456,3,1,4,0.0010402911777378718
3156,4,5,9,0.0014065699859171458
431,2,1,3,0.0007292874149274645
441,2,0,2,0.0004989402981964142
447,1,0,1,0.0004707830438132871
448,5,0,5,0.001163369881247465
455,1,0,1,0.0004707830438132871
615,2,4,6,0.0012161929544376828
432,4,4,8,0.0017035208951637188
587,4,4,8,0.0010558698568099909
540,5,4,9,0.0013775124408585031
437,0,2,2,0.0004305713366354541
438,2,1,3,0.0012216614994549511
439,1,5,6,0.0008986023398444177
3124,2,5,7,0.0021513801094688264
433,1,0,1,0.0008308070171959391
449,1,1,2,0.0008508327962649723
452,0,1,1,0.0004305713366354541
247,1,0,1,0.0007966156436161054
457,1,1,2,0.0006477778329024352
570,2,4,6,0.001021955281863238
458,4,4,8,0.0019772436886485605
480,3,1,4,0.0011453190084111766
470,2,1,3,0.0008874372269630374
460,1,1,2,0.0034497847058551447
461,3,1,4,0.0035304535801460087
462,3,3,6,0.0016551911650865415
507,3,3,6,0.0015782184738754998
474,3,3,6,0.0016551911650865415
463,0,2,2,0.0004305713366354541
464,0,2,2,0.0004305713366354541
3099,4,0,4,0.0018270671754776087
467,0,2,2,0.0004305713366354541
469,0,1,1,0.0004305713366354541
3106,1,0,1,0.0007966156436161054
472,1,1,2,0.0007827472562709184
468,2,0,2,0.001118924365070174
476,3,1,4,0.0008460547224658083
478,0,13,13,0.0004305713366354541
471,1,0,1,0.0004587285910185811
475,1,0,1,0.0004587285910185811
479,3,1,4,0.001008865895003853
485,1,0,1,0.0004587285910185811
486,2,2,4,0.0005319374524147113
488,1,2,3,0.0004587285910185811
489,10,4,14,0.0024014829317517824
492,6,5,11,0.0030491204312884574
481,2,3,5,0.0010872536898386726
512,1,3,4,0.0007387226137512649
482,1,1,2,0.0018424854732597084
483,5,3,8,0.0029506321794779307
3107,10,2,12,0.005460301737318409
561,2,5,7,0.0018937208826428078
563,10,8,18,0.004278052993464372
520,2,2,4,0.0007582395479543253
3121,4,0,4,0.0016311664366893048
490,0,3,3,0.0004305713366354541
491,2,4,6,0.0008026489288814967
3152,1,1,2,0.0009490785623755623
493,0,2,2,0.0004305713366354541
494,0,16,16,0.0004305713366354541
495,3,1,4,0.0010779977839165732
498,8,3,11,0.0016768286757922082
506,3,1,4,0.0035810489162627383
509,2,3,5,0.0005754638748152951
515,2,0,2,0.0006624040268939165
519,1,2,3,0.0004534491058217448
523,3,0,3,0.0007493441789725376
524,2,2,4,0.0006542802599166096
525,4,4,8,0.0009021044524444067
528,3,0,3,0.0009541623702232808
529,3,0,3,0.0009541623702232808
530,1,2,3,0.0004534491058217448
496,0,4,4,0.0004305713366354541
497,1,5,6,0.00046220141488061785
499,0,2,2,0.0004305713366354541
500,0,1,1,0.0004305713366354541
501,3,7,10,0.0008787252572459653
750,2,3,5,0.0007203146071097129
701,3,3,6,0.0010510572437186915
675,3,1,4,0.0006349622899074137
502,0,6,6,0.0004305713366354541
3105,2,0,2,0.0006665367947328636
504,1,1,2,0.0034760912877085663
505,4,2,6,0.0024604134419022278
531,2,1,3,0.001726934981947122
532,2,6,8,0.0017661029661331738
510,2,0,2,0.0007156610899604777
511,0,3,3,0.0004305713366354541
335,3,0,3,0.0010923017763734765
513,3,3,6,0.0008527916981118579
514,1,1,2,0.0005037801980315843
516,1,5,6,0.0010936889916507717
517,17,5,22,0.0038997971834711436
521,1,3,4,0.0019581271688676773
567,6,2,8,0.004511860562654152
522,1,3,4,0.0007086894611315147
527,1,1,2,0.0006135934901257796
535,1,2,3,0.0006808451799146642
533,2,5,7,0.0007874737942830221
536,1,2,3,0.0007284280770388043
537,0,12,12,0.0004305713366354541
538,3,4,7,0.0009782782477015207
539,1,2,3,0.0004610750288838417
552,2,2,4,0.0006854932815729574
553,2,1,3,0.0008271193358644928
557,5,2,7,0.0017604885521012937
560,3,3,6,0.0012679457377937544
562,4,2,6,0.0014516680139593213
564,1,2,3,0.0004610750288838417
565,3,0,3,0.0005659139685251357
544,6,4,10,0.0019008371432285734
546,0,2,2,0.0004305713366354541
543,2,0,2,0.0009796377971064308
547,0,1,1,0.0004305713366354541
548,1,1,2,0.0011337416221801038
315,1,0,1,0.0013944341460108303
550,3,2,5,0.0035940795696605137
551,1,1,2,0.002929298440633045
578,2,1,3,0.002944834668274249
554,3,7,10,0.0011282889809105805
734,2,2,4,0.0009336483002330232
684,3,10,13,0.001182542959491713
573,8,3,11,0.001597024237890101
683,3,1,4,0.0008862081194230369
558,2,4,6,0.0008086696412973038
667,1,2,3,0.0006024438792933774
559,0,1,1,0.0004305713366354541
549,1,0,1,0.0010476495248313024
649,8,4,12,0.0019450725664693388
749,2,4,6,0.001007280894903453
410,1,0,1,0.0006265598739167027
568,2,2,4,0.002522114469518454
569,0,9,9,0.0004305713366354541
572,9,2,11,0.0019617854908655897
574,1,2,3,0.0004712429262999709
590,4,3,7,0.0010119900901415545
591,5,1,6,0.003761621839176624
586,5,2,7,0.004613114532040009
589,8,5,13,0.0017835036520679644
3113,2,2,4,0.0008307999863927606
3102,4,0,4,0.0032376978674295218
571,2,3,5,0.0006644878582288674
575,2,5,7,0.0007974381963197952
580,4,6,10,0.0018758438081022068
579,2,7,9,0.0008319840861992949
576,3,1,4,0.0010842342069054976
577,0,3,3,0.0004305713366354541
581,2,1,3,0.003992432961956045
588,2,1,3,0.003992432961956045
584,5,2,7,0.0009889624000343628
585,5,1,6,0.0011305963620557881
592,5,1,6,0.0013843688293370172
593,2,2,4,0.0007791865475026288
594,1,2,3,0.0009632943050499551
206,1,0,1,0.0008400823841875345
595,0,2,2,0.0004305713366354541
596,3,9,12,0.0017528366151168039
614,1,1,2,0.0005961643940123034
616,1,0,1,0.0005961643940123034
617,4,0,4,0.00112209920229642
598,3,4,7,0.0014716554536938506
605,4,4,8,0.0011336816435592986
599,1,4,5,0.0005480151809624629
600,1,4,5,0.0005525861056290046
601,1,1,2,0.0005525861056290046
719,1,1,2,0.001199060327324994
603,1,1,2,0.000522082413380617
604,6,4,10,0.0012968753135171906
607,1,2,3,0.000671536384759147
606,2,16,18,0.0005952912747767471
3002,1,0,1,0.00046220141488061785
608,0,5,5,0.0004305713366354541
610,4,4,8,0.0011305494645964561
612,4,2,6,0.0007599783620237006
613,2,1,3,0.000601112910792154
619,0,12,12,0.0004305713366354541
618,1,0,1,0.0004610750288838417
626,2,0,2,0.000583089797877392
634,6,4,10,0.0012008196352519874
635,5,8,13,0.0012058788179133517
636,6,3,9,0.0011345308546823424
644,1,0,1,0.0004610750288838417
624,1,1,2,0.0004610750288838417
597,2,0,2,0.000583089797877392
620,1,5,6,0.0006135934901257796
670,1,0,1,0.0005348995191297996
621,12,7,19,0.002260469830280642
631,2,2,4,0.0008250015928265482
633,1,5,6,0.0007051098794712541
622,4,10,14,0.001175375125664964
623,1,1,2,0.0008225484111979513
625,1,7,8,0.00058019514092355
643,2,2,4,0.0005925467516658057
627,1,1,2,0.000599880716126155
629,1,1,2,0.0006343897098278217
630,2,4,6,0.0006531221751264514
632,0,1,1,0.0004305713366354541
640,2,4,6,0.0005993936733216104
637,3,5,8,0.002071152433720753
646,6,2,8,0.0013634457407146062
638,0,1,1,0.0004305713366354541
641,1,2,3,0.0004915787211322293
642,0,9,9,0.0004305713366354541
534,1,0,1,0.0004712429262999709
645,0,2,2,0.0004305713366354541
647,3,1,4,0.0009256493557447427
650,1,3,4,0.0005292214102347184
652,3,3,6,0.001094445229659674
653,0,3,3,0.0004305713366354541
654,4,1,5,0.0011480869930049083
655,4,2,6,0.0009268510067690374
656,0,3,3,0.0004305713366354541
658,5,1,6,0.001252859013919955
660,4,5,9,0.000848277283680154
662,1,7,8,0.000574803750228853
661,1,1,2,0.0005525861056290046
664,1,9,10,0.0004915787211322293
657,1,0,1,0.0004770057635403811
680,1,4,5,0.0004770057635403811
673,2,2,4,0.0005282411729234805
681,3,2,5,0.0007112633264138061
665,1,5,6,0.00058019514092355
709,1,0,1,0.0006866548723037536
668,1,4,5,0.0007966156436161054
669,0,3,3,0.0004305713366354541
659,7,0,7,0.0024209041502832197
671,0,3,3,0.0004305713366354541
672,0,1,1,0.0004305713366354541
674,0,1,1,0.0004305713366354541
677,1,5,6,0.0005037801980315843
678,0,2,2,0.0004305713366354541
682,0,1,1,0.0004305713366354541
685,0,2,2,0.0004305713366354541
686,0,3,3,0.0004305713366354541
687,0,3,3,0.0004305713366354541
688,1,2,3,0.0004818067460185534
689,1,3,4,0.0006135934901257796
690,1,3,4,0.0005525861056290046
691,5,6,11,0.0014384322375927889
692,3,3,6,0.0008305365046027433
693,0,1,1,0.0004305713366354541
740,3,6,9,0.0013133468686627057
695,4,7,11,0.0011529896725117929
696,1,2,3,0.0006446816423795897
697,2,1,3,0.0005915450690442117
698,2,1,3,0.0010145297144330543
699,0,3,3,0.0004305713366354541
700,0,3,3,0.0004305713366354541
703,5,4,9,0.0010260173028422684
704,0,1,1,0.0004305713366354541
705,2,5,7,0.0009601228407406094
706,1,1,2,0.0007966156436161054
707,0,1,1,0.0004305713366354541
710,0,1,1,0.0004305713366354541
711,0,3,3,0.0004305713366354541
712,0,2,2,0.0004305713366354541
713,0,1,1,0.0004305713366354541
714,0,2,2,0.0004305713366354541
715,0,2,2,0.0004305713366354541
720,0,2,2,0.0004305713366354541
721,0,1,1,0.0004305713366354541
722,1,3,4,0.0005423611158523751
723,2,5,7,0.0006574751292618246
724,1,2,3,0.0006135934901257796
725,3,6,9,0.0009696079174171962
735,2,6,8,0.0006899726356014782
770,2,2,4,0.0006594689433530906
804,1,3,4,0.0005679578666079279
726,0,1,1,0.0004305713366354541
727,1,3,4,0.0004818067460185534
728,2,3,5,0.0005769890594277146
718,1,0,1,0.0004818067460185534
730,1,1,2,0.0006135934901257796
733,0,2,2,0.0004305713366354541
736,0,1,1,0.0004305713366354541
737,0,3,3,0.0004305713366354541
738,0,2,2,0.0004305713366354541
739,0,1,1,0.0004305713366354541
741,0,3,3,0.0004305713366354541
742,0,2,2,0.0004305713366354541
743,0,4,4,0.0004305713366354541
731,1,0,1,0.000522082413380617
744,1,3,4,0.0007966156436161054
745,0,1,1,0.0004305713366354541
746,0,2,2,0.0004305713366354541
747,0,2,2,0.0004305713366354541
748,0,1,1,0.0004305713366354541
751,2,4,6,0.0007039923439571918
752,2,6,8,0.000764999728453967
708,3,0,3,0.0007269754643810524
541,3,0,3,0.0007585913795431908
753,0,2,2,0.0004305713366354541
755,0,2,2,0.0004305713366354541
756,0,1,1,0.0004305713366354541
759,0,10,10,0.0004305713366354541
766,2,3,5,0.0005342865355203814
760,0,1,1,0.0004305713366354541
762,0,1,1,0.0004305713366354541
763,0,3,3,0.0004305713366354541
764,0,5,5,0.0004305713366354541
765,0,3,3,0.0004305713366354541
767,0,1,1,0.0004305713366354541
639,2,0,2,0.0008024060235972573
771,0,3,3,0.0004305713366354541
772,1,3,4,0.0005915209758647014
609,1,0,1,0.0005981976601792374
773,0,5,5,0.0004305713366354541
774,0,1,1,0.0004305713366354541
775,1,1,2,0.0007966156436161054
776,2,1,3,0.001135234402597507
777,1,4,5,0.0006135934901257796
778,0,2,2,0.0004305713366354541
779,2,2,4,0.0005915450690442117
780,0,3,3,0.0004305713366354541
781,0,3,3,0.0004305713366354541
783,1,1,2,0.0006135934901257796
784,0,1,1,0.0004305713366354541
785,0,1,1,0.0004305713366354541
787,0,2,2,0.0004305713366354541
788,0,1,1,0.0004305713366354541
789,1,3,4,0.0006135934901257796
790,0,1,1,0.0004305713366354541
792,0,2,2,0.0004305713366354541
793,3,2,5,0.0007135598380377621
803,2,7,9,0.0007979493172843662
797,0,1,1,0.0004305713366354541
798,0,3,3,0.0004305713366354541
799,0,2,2,0.0004305713366354541
802,0,3,3,0.0004305713366354541
809,1,7,8,0.000527482703866723
806,0,2,2,0.0004305713366354541
807,0,1,1,0.0004305713366354541
808,0,4,4,0.0004305713366354541
810,0,3,3,0.0004305713366354541
814,0,4,4,0.0004305713366354541
816,0,1,1,0.0004305713366354541
817,1,7,8,0.0005525861056290046
818,0,2,2,0.0004305713366354541
819,0,3,3,0.0004305713366354541
820,0,3,3,0.0004305713366354541
821,0,5,5,0.0004305713366354541
825,0,3,3,0.0004305713366354541
826,0,1,1,0.0004305713366354541
2026,0,6,6,0.0004305713366354541
3001,1,0,1,0.0006055294102360884
3110,1,4,5,0.0006055294102360884
3104,0,2,2,0.0004305713366354541
324,1,0,1,0.0007535774132188468
360,1,0,1,0.0007535774132188468
3109,0,5,5,0.0004305713366354541
3111,0,1,1,0.0004305713366354541
3114,0,2,2,0.0004305713366354541
3117,0,1,1,0.0004305713366354541
3119,4,4,8,0.006211606003214024
3120,0,1,1,0.0004305713366354541
3126,0,1,1,0.0004305713366354541
306,1,0,1,0.0005766399273476045
3133,0,3,3,0.0004305713366354541
3140,0,1,1,0.0004305713366354541
3138,1,0,1,0.0007966156436161054
3142,0,3,3,0.0004305713366354541
3145,0,1,1,0.0004305713366354541
3146,1,2,3,0.0018605355952338045
359,1,0,1,0.0008576553152739284
3148,1,0,1,0.0006697513675729427
8010,4,3,7,0.0015639753352295884
8011,3,4,7,0.0012900930388826152
8012,2,5,7,0.001102767072701133
8013,2,5,7,0.001102767072701133
8014,2,3,5,0.001102767072701133
8015,2,4,6,0.001102767072701133
10,0,0,0,0.0004305713366354541
103,0,0,0,0.0004305713366354541
160,0,0,0,0.0004305713366354541
205,0,0,0,0.0004305713366354541
210,0,0,0,0.0004305713366354541
217,0,0,0,0.0004305713366354541
221,0,0,0,0.0004305713366354541
222,0,0,0,0.0004305713366354541
229,0,0,0,0.0004305713366354541
242,0,0,0,0.0004305713366354541
250,0,0,0,0.0004305713366354541
259,0,0,0,0.0004305713366354541
260,0,0,0,0.0004305713366354541
261,0,0,0,0.0004305713366354541
265,0,0,0,0.0004305713366354541
268,0,0,0,0.0004305713366354541
271,0,0,0,0.0004305713366354541
272,0,0,0,0.0004305713366354541
295,0,0,0,0.0004305713366354541
297,0,0,0,0.0004305713366354541
303,0,0,0,0.0004305713366354541
316,0,0,0,0.0004305713366354541
